"link";"price";"sold";"auction_end";"title";"distillery";"year_ditilled";"region";"bottler";"cask_info";"strength";"size";"distillery_status";"details";"image";"age";"cask_type"
"https://whiskyauctioneer.com/lot/1224-01/cask-port-charlotte-2004-fresh-bourbon-barrel-893-stored-bruichladdich";"18500";"Reserve has been met";"2025-01-06";"Cask: Port Charlotte 2004 Fresh Bourbon Barrel #893 / stored at Bruichladdich";"Bruichladdich";"2004";"Islay";"still in cask";"Fresh Bourbon Barrel";"50.4% as of 10/24";"74.9 RLA as of 10/24";"Operational";"Cask: Port Charlotte 2004 Fresh Bourbon Barrel #893 / stored at BruichladdichA cask for Port Chalotte single malt Scotch whisky.Single fresh bourbon barrel #893 was filled on 15th July 2004 and is currently in storage at Bruichladdich.The following are the results of a regauging which took place in October 2024.Bulk Litres: 148Regauged Litres of Alcohol: 74.9Strength: 50.4%Port Charlotte is a heavily peated single malt produced at Bruichladdich distillery, introduced after Murray McDavid purchased the distillery 2001. The brand is named after a historic distillery in the eponymous neighbouring town. Having been traditionally an un-peated single malt due to the needs of its former owners for their blends, Murray McDavid were quick to diversify the Bruichladdich portfolio, also introducing the even peatier Lochindaal and Octomore.All relevant paperwork will accompany this purchase. Ownership of the cask will be transferred once payment is processed post auction. Any costs relating to storage, removal from storage, bottling and duty/tax payments will become the responsibility of the new owner.*IMPORTANT NOTICE: The buyer of any cask which is stored at this location must have an existing account with the company that owns the warehouse. Please note that the buyer will also be fully responsible for all fees associated with the transfer of ownership of the cask.Title of ownership for sold lots shall be passed on to the buyer within 14 days of the receipt of funds PROVIDED THAT a Buyer meets, and can demonstrate they meet, HMRC requirements for owning duty-suspended goods.  In short: a UK resident revenue trader must have a valid Owners of Warehoused Goods Regulations Certificate (“WOWGR”).  A UK resident who is not a revenue trader does not require a WOWGR but must make arrangements with the warehousekeeper storing the cask.  Non-UK residents should appoint a UK Duty Representative to act for them.  Further details and guidance can be found via the below websites.HMRC Excise Notice 196HMRC Excise Notice 206";"https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/Cask%20Graphic%203.jpg?itok=TDtTrgxa";NA;NA
"https://whiskyauctioneer.com/lot/1124-02a/cask-adnams-2011-jack-daniels-barrel-x15-stored-cadus-vaults";"1000";"Reserve not met";"2025-01-06";"Cask: Adnams 2011 Jack Daniel's Barrel #X15 / stored at Cadus Vaults";"Copper House";"2011";"England";"still in cask";"Jack Daniel's Barrel";"64.8% as of October 2024";"BULK 115.4 LITRES as of october 2024";"Operational";"Cask: Adnams 2011 Jack Daniel's Barrel #X15 / stored at Cadus VaultsThis Adnams whisky from Copper House disttillery was distilled on 7th October 2011 and is currently maturing in Jack Daniel's Barrel  #X15 at a bonded warehouse at Cadus Vaults in NorfolkThe following information is the result of a regauging which took place in October 2024.Bulk Litres: 115.4Strength: 64.8%Regauge Litres of Alcohol: 74.75*IMPORTANT NOTICE: The buyer of any cask which is stored at this location must have an existing account with the company that owns the warehouse. Please note that the buyer will also be fully responsible for all fees associated with the transfer of ownership of the cask.Title of ownership for sold lots shall be passed on to the buyer within 14 days of the receipt of funds PROVIDED THAT a Buyer meets, and can demonstrate they meet, HMRC requirements for owning duty-suspended goods.  In short: a UK resident revenue trader must have a valid Owners of Warehoused Goods Regulations Certificate (“WOWGR”).  A UK resident who is not a revenue trader does not require a WOWGR but must make arrangements with the warehousekeeper storing the cask.  Non-UK residents should appoint a UK Duty Representative to act for them.  Further details and guidance can be found via the below websites.HMRC Excise Notice 196HMRC Excise Notice 206";"https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/Cask%20Graphic%202.jpg?itok=w-U-8PzQ";NA;NA
"https://whiskyauctioneer.com/lot/1124-01a/cask-adnams-2015-french-oak-cask-496-stored-cadus-vaults";"1000";"Reserve not met";"2025-01-06";"Cask: Adnams 2015 French Oak Cask #496 / stored at Cadus Vaults";"Copper House";"2015";"England";"still in cask";"virgin french oak";"64.29% as of October 2024";"BULK 173.58 LITRES as of october 2024";"Operational";"Cask: Adnams 2015 French Oak Cask #496 / stored at Cadus VaultsThis Adnams whisky from Copper House disttillery was distilled on 15th July 2015 and is currently maturing in virgin French oak cask #496 at a bonded warehouse at Cadus Vaults in NorfolkThe following information is the result of a regauging which took place in October 2024.Bulk Litres: 173.588Strength: 64.29%Regauge Litres of Alcohol: 111.60*IMPORTANT NOTICE: The buyer of any cask which is stored at this location must have an existing account with the company that owns the warehouse. Please note that the buyer will also be fully responsible for all fees associated with the transfer of ownership of the cask.Title of ownership for sold lots shall be passed on to the buyer within 14 days of the receipt of funds PROVIDED THAT a Buyer meets, and can demonstrate they meet, HMRC requirements for owning duty-suspended goods.  In short: a UK resident revenue trader must have a valid Owners of Warehoused Goods Regulations Certificate (“WOWGR”).  A UK resident who is not a revenue trader does not require a WOWGR but must make arrangements with the warehousekeeper storing the cask.  Non-UK residents should appoint a UK Duty Representative to act for them.  Further details and guidance can be found via the below websites.HMRC Excise Notice 196HMRC Excise Notice 206";"https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/Cask%20Graphic%201.jpg?itok=QILSJwL_";NA;NA
"https://whiskyauctioneer.com/lot/1124-01/cask-copper-house-2015-french-oak-cask-496-stored-cadus-vaults";"250";"Reserve not met";"2024-12-02";"Cask: Copper House 2015 French Oak Cask #496 / stored at Cadus Vaults";"Copper House";"2015";"England";"still in cask";"virgin french oak";"64.29% as of October 2024";"BULK 173.58 LITRES as of october 2024";"Operational";"Cask: Copper House 2015 French Oak Cask #496 / stored at Cadus VaultsThis Copper House whisky was distilled on 15th July 2015 and is currently maturing in virgin French oak cask #496 at a bonded warehouse at Cadus Vaults in NorfolkThe following information is the result of a regauging which took place in October 2024.Bulk Litres: 173.588Strength: 64.29%Regauge Litres of Alcohol: 111.60*IMPORTANT NOTICE: The buyer of any cask which is stored at this location must have an existing account with the company that owns the warehouse. Please note that the buyer will also be fully responsible for all fees associated with the transfer of ownership of the cask.Title of ownership for sold lots shall be passed on to the buyer within 14 days of the receipt of funds PROVIDED THAT a Buyer meets, and can demonstrate they meet, HMRC requirements for owning duty-suspended goods.  In short: a UK resident revenue trader must have a valid Owners of Warehoused Goods Regulations Certificate (“WOWGR”).  A UK resident who is not a revenue trader does not require a WOWGR but must make arrangements with the warehousekeeper storing the cask.  Non-UK residents should appoint a UK Duty Representative to act for them.  Further details and guidance can be found via the below websites.HMRC Excise Notice 196HMRC Excise Notice 206";"https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/Cask-%20Copper%20House%202015%20French%20Oak%20Cask%20496%20_%20stored%20at%20Cadus%20Vaults.jpg?itok=d7tChsZB";NA;NA
"https://whiskyauctioneer.com/lot/0824-05a/cask-bruichladdich-2002-climens-hogshead-460-stored-bruichladdich";"21500";"Reserve has been met";"2024-12-02";"Cask: Bruichladdich 2002 Climens Hogshead #460 / stored at Bruichladdich";"Bruichladdich";"2002";"Islay";"STILL IN CASK";"Climens Hogshead";"53.1% as of 06/2024";"115.3 RLA as of 06/2024";"Operational";"Cask: Bruichladdich 2002 Climens Hogshead #460 / stored at BruichladdichThis Bruichladdich climens hogshead was filled on July 15th 2002 and is currently maturing at a bonded warehouse at Bruichladdich.Like its island neighbour Bunnahabhain distillery, Bruichladdich has traditionally been an un-peated single malt, mostly owing to its requirements by the blenders who owned it. The last of these was Whyte & Mackay, who eventually shut it down in 1995, deeming it surplus to requirements. They sold the distillery to Murray McDavid in 2001, who launched the peated Port Charlotte and heavily-peated Octomore single malts in 2006 and 2008. A recommissioned Lomond still also now produces the popular Botanist gin there. This cask was regauged in June 2024.New Bulk: 216 LitresStrength: 53.1%Regauged Litres of Alcohol: 115.3*IMPORTANT NOTICE: The buyer of any cask which is stored at this location must have an existing account with the company that owns the warehouse. Please note that the buyer will also be fully responsible for all fees associated with the transfer of ownership of the cask.Title of ownership for sold lots shall be passed on to the buyer within 14 days of the receipt of funds PROVIDED THAT a Buyer meets, and can demonstrate they meet, HMRC requirements for owning duty-suspended goods.  In short: a UK resident revenue trader must have a valid Owners of Warehoused Goods Regulations Certificate (“WOWGR”).  A UK resident who is not a revenue trader does not require a WOWGR but must make arrangements with the warehousekeeper storing the cask.  Non-UK residents should appoint a UK Duty Representative to act for them.  Further details and guidance can be found via the below websites.HMRC Excise Notice 196HMRC Excise Notice 206";"https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/Bruichladdich%202002_0.jpg?itok=gWH1BSPB";NA;NA
"https://whiskyauctioneer.com/lot/1124-03/cask-tobermory-1994-hogshead-381012-stored-deanston";"22500";"Reserve not met";"2024-12-02";"Cask: Tobermory 1994 Hogshead #381012 / Stored at Deanston";"Tobermory";"1994";"Island";"Still in cask";"refill hogshead";"50.9% as of 11/2024";"141.84 bulk litres as of 11/2024";"Operational";"Cask: Tobermory 1994 Hogshead #381012 / Stored at DeanstonThis refill hogshead cask of single malt spirit from Tobermory distillery was filled on 12th November 1994 and is currently maturing at the Deanston distillery warehouses in central Scotland. Cask #381012 was re-gauged 12th November 2024.New bulk litres: 141.84 Strength 50.9%Regauged litres of alcohol 72.2*IMPORTANT NOTICE: The buyer of any cask which is stored at this location must have an existing account with the company that owns the warehouse. Please note that the buyer will also be fully responsible for all fees associated with the transfer of ownership of the cask.Title of ownership for sold lots shall be passed on to the buyer within 14 days of the receipt of funds PROVIDED THAT a Buyer meets, and can demonstrate they meet, HMRC requirements for owning duty-suspended goods.  In short: a UK resident revenue trader must have a valid Owners of Warehoused Goods Regulations Certificate (“WOWGR”).  A UK resident who is not a revenue trader does not require a WOWGR but must make arrangements with the warehousekeeper storing the cask.  Non-UK residents should appoint a UK Duty Representative to act for them.  Further details and guidance can be found via the below websites.HMRC Excise Notice 196HMRC Excise Notice 206";"https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/1%20Tobermory%201994%20Hogshead%20381012%20_%20Cask%20in%20storage%20at%20Deanston.jpg?itok=HvWS6veg";NA;NA
"https://whiskyauctioneer.com/lot/0724-02b/cask-laphroaig-1998-butt-700042-stored-edrington";"60000";"Reserve not met";"2024-12-02";"Cask: Laphroaig 1998 Butt #700042 / stored at Edrington";"Laphroaig";"1998";"Islay";"still in cask";"Butt";"56.8% as of July 2024";"BULK 295 LITRES as of july 2024";"Operational";"Cask: Laphroaig 1998 Butt #700042 / stored at EdringtonThis Laphroaig single malt was distilled on 25th March 1998 and is currently maturing in Butt #700042 at a bonded warehouse at Edrington, Great Western Road, Glasgow.The following information is the result of a regauging which took place in July 2024.Bulk Litres: 295Strength: 56.8%Regauge Litres of Alcohol: 167.5*IMPORTANT NOTICE: The buyer of any cask which is stored at this location must have an existing account with the company that owns the warehouse. Please note that the buyer will also be fully responsible for all fees associated with the transfer of ownership of the cask.Title of ownership for sold lots shall be passed on to the buyer within 14 days of the receipt of funds PROVIDED THAT a Buyer meets, and can demonstrate they meet, HMRC requirements for owning duty-suspended goods.  In short: a UK resident revenue trader must have a valid Owners of Warehoused Goods Regulations Certificate (“WOWGR”).  A UK resident who is not a revenue trader does not require a WOWGR but must make arrangements with the warehousekeeper storing the cask.  Non-UK residents should appoint a UK Duty Representative to act for them.  Further details and guidance can be found via the below websites.HMRC Excise Notice 196HMRC Excise Notice 206";"https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/Laphroaig%201998_0_0.jpg?itok=MrSJMi7K";NA;NA
"https://whiskyauctioneer.com/lot/1124-02/cask-copper-house-2011-jack-daniels-barrel-x15-stored-cadus-vaults";"1000";"Reserve not met";"2024-12-02";"Cask: Copper House 2011 Jack Daniel's Barrel #X15 / stored at Cadus Vaults";"Copper House";"2011";"England";"still in cask";"Jack Daniel's Barrel";"64.8% as of October 2024";"BULK 115.4 LITRES as of october 2024";"Operational";"Cask: Copper House 2011 Jack Daniel's Barrel #X15 / stored at Cadus VaultsThis Copper House whisky was distilled on 7th October 2011 and is currently maturing in Jack Daniel's Barrel  #X15 at a bonded warehouse at Cadus Vaults in NorfolkThe following information is the result of a regauging which took place in October 2024.Bulk Litres: 115.4Strength: 64.8%Regauge Litres of Alcohol: 74.75*IMPORTANT NOTICE: The buyer of any cask which is stored at this location must have an existing account with the company that owns the warehouse. Please note that the buyer will also be fully responsible for all fees associated with the transfer of ownership of the cask.Title of ownership for sold lots shall be passed on to the buyer within 14 days of the receipt of funds PROVIDED THAT a Buyer meets, and can demonstrate they meet, HMRC requirements for owning duty-suspended goods.  In short: a UK resident revenue trader must have a valid Owners of Warehoused Goods Regulations Certificate (“WOWGR”).  A UK resident who is not a revenue trader does not require a WOWGR but must make arrangements with the warehousekeeper storing the cask.  Non-UK residents should appoint a UK Duty Representative to act for them.  Further details and guidance can be found via the below websites.HMRC Excise Notice 196HMRC Excise Notice 206";"https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/Copper%20House%202011.jpg?itok=_Ve8fztp";NA;NA
"https://whiskyauctioneer.com/lot/0724-02a/cask-laphroaig-1998-butt-700042-stored-edrington";"90000";"Reserve not met";"2024-10-07";"Cask: Laphroaig 1998 Butt #700042 / stored at Edrington";"Laphroaig";"1998";"Islay";"still in cask";"Butt";"56.8% as of July 2024";"BULK 295 LITRES as of july 2024";"Operational";"Cask: Laphroaig 1998 Butt #700042 / stored at EdringtonThis Laphroaig single malt was distilled on 25th March 1998 and is currently maturing in Butt #700042 at a bonded warehouse at Edrington, Great Western Road, Glasgow.The following information is the result of a regauging which took place in July 2024.Bulk Litres: 295Strength: 56.8%Regauge Litres of Alcohol: 167.5*IMPORTANT NOTICE: The buyer of any cask which is stored at this location must have an existing account with the company that owns the warehouse. Please note that the buyer will also be fully responsible for all fees associated with the transfer of ownership of the cask.Title of ownership for sold lots shall be passed on to the buyer within 14 days of the receipt of funds PROVIDED THAT a Buyer meets, and can demonstrate they meet, HMRC requirements for owning duty-suspended goods.  In short: a UK resident revenue trader must have a valid Owners of Warehoused Goods Regulations Certificate (“WOWGR”).  A UK resident who is not a revenue trader does not require a WOWGR but must make arrangements with the warehousekeeper storing the cask.  Non-UK residents should appoint a UK Duty Representative to act for them.  Further details and guidance can be found via the below websites.HMRC Excise Notice 196HMRC Excise Notice 206";"https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/Laphroaig%201998_0.jpg?itok=lRxl3aPU";NA;NA
"https://whiskyauctioneer.com/lot/0924-01/cask-dailuaine-2008-refill-bourbon-hogshead-90065091-stored-lowland-bond";"3472";"Reserve not met";"2024-10-07";"Cask: Dailuaine 2008 Refill Bourbon Hogshead #90065091 / stored at Lowland Bond";"Dailuaine";"2008";"Speyside";"still in cask";"refill bourbon hogshead";"59.3% as of July 2024";"BULK 212.02 LITRES as of july 2024";"Operational";"Cask: Dailuaine 2008 Refill Bourbon Hogshead #90065091 / stored at Lowland BondThis Dailuaine single malt was distilled on 18th December 2008 and is currently maturing in redill bourbon hogshead #90065091 at a bonded warehouse at Lowland Bond in Fife.The following information is the result of a regauging which took place in July 2024.Bulk Litres: 212.02Strength: 59.3%Regauge Litres of Alcohol: 126.30 *IMPORTANT NOTICE: The buyer of any cask which is stored at this location must have an existing account with the company that owns the warehouse. Please note that the buyer will also be fully responsible for all fees associated with the transfer of ownership of the cask.Title of ownership for sold lots shall be passed on to the buyer within 14 days of the receipt of funds PROVIDED THAT a Buyer meets, and can demonstrate they meet, HMRC requirements for owning duty-suspended goods.  In short: a UK resident revenue trader must have a valid Owners of Warehoused Goods Regulations Certificate (“WOWGR”).  A UK resident who is not a revenue trader does not require a WOWGR but must make arrangements with the warehousekeeper storing the cask.  Non-UK residents should appoint a UK Duty Representative to act for them.  Further details and guidance can be found via the below websites.HMRC Excise Notice 196HMRC Excise Notice 206";"https://web-whisky-live.s3-eu-west-1.amazonaws.com/s3fs-public/styles/uc_product_full/public/Cask-%20Dailuaine%202008%20Refill%20Bourbon%20Hogshead%20_90065091.jpg?itok=HmzWb161";NA;NA
