"id";"auction_id";"reference";"highest_bid";"ends_at";"name";"status";"starting_price";"buy_it_now_price";"vat_applicable";"vat_applicable_new";"admin_user_id";"commodity_code";"bid_value";"current_bid";"max_bid";"owner";"thumb_image";"hover_thumb_image";"has_reserve";"reserve_met";"time_remaining";"url";"lot_id";"time_left";"status_text";"not_allowed_to_bid";"is_live";"can_bid";"own_lot";"is_watching";"is_sold";"is_biddable";"is_before_live";"is_logged_in";"user_has_bids";"bid_descriptor_value";"bid_descriptor_text";"next_bid_increment";"auction_has_ended";"show_invoice_link";"default_image.id";"default_image.lot_id";"default_image.name";"default_image.default";"default_image.hover";"default_image.zoom";"default_image.order";"default_image.created_at";"default_image.updated_at";"hover_image.id";"hover_image.lot_id";"hover_image.name";"hover_image.default";"hover_image.hover";"hover_image.zoom";"hover_image.order";"hover_image.created_at";"hover_image.updated_at";"bottler";"country";"region";"size";"type";"age";"strength";"cask_finish";"distillery_status";"fill_level";"lot_type";"shipping_weight";"cask_no";"cask_type";"number_of_bottles";"description"
115177;53;"491432";"87750.00";"2023-04-24 21:14:18";"Springbank - 1996 Fresh Sherry Hogshead - Bulk 147.7L & 43.9%| Held in bond at Springbank";8;"20000.00";NA;0;0; 2;"2208.30.30.00";"87750.00";"87750.00";FALSE;"ad63f5eec857aa76bb93fb3f9d5fa75499122db5";"/uploads/images/lots/thumbs/1681918740Springbankfs.png";"/uploads/images/lots/thumbs/16819136901111.JPG";TRUE;TRUE; -59796725;"https://www.thegrandwhiskyauction.com/lot-491432/springbank-1996-fresh-sherry-hogshead-bulk-1477l-439-held-in-bond-at-springbank";"491432"; -59796724;"Payment Received";"Bidding on this lot is not possible now";FALSE;FALSE;FALSE;FALSE;1;FALSE;FALSE;FALSE;FALSE;"winning_bid";"Winning Bid";"250.00";TRUE;TRUE;232321;115177;1681918740Springbankfs.png;1;0;1; 0;2023-04-19 16:39:12;2023-04-19 16:40:01;232198;115177;16819136901111.JPG; 0; 1; 1; 3;2023-04-19 15:14:51;2023-04-19 16:40:01;"Distillery";"Scotland";"Campbeltown";"147.7L";"Single Malt Whisky";"26 Year Old";"43.9%";NA;"Operational";NA;"Cask";"2.00 KG";"279";"Fresh Sherry Hogshead";NA;"A great chance to be the new owner of a 07/06/1996 Springbank Single Malt Fresh Sherry Hogshead, held in bond at the Springbank distillery. Cask #279 is a Fresh Sherry Hogshead has been maturing very nicely and was re-gauged in March 2023. There a few key facts and figures that have been listed below for your attention - New bulk 147.7L | New strength 43.9% ABV | 65.4L of alcohol. If bottled at cask strength and at 70cl, this cask would approximately yield 210 bottles of 26 Year Old 1996 Springbank Single Malt. The buyer is responsible for the administration fee and is payable to Springbank. Unofficial Tasting Notes Please Note - - All cask storage fees have been settled prior to this sale. For moving forward please ensure you are aware of the associated weekly storage fees.- All costs relating to removing the cask from bond, bottling, storage, re-gauging and moving in the future are the sole responsibility of the buyer.  This includes VAT and any UK excise duty.- Upon payment being transferred to The grand Whisky Auction ltd, then and only then will legal ownership of the cask be transferred to the new buyer. All funds are held by the company until the buyer is in receipt of the cask.- Should the new owner be a UK revenue trader (business), registration with HMRC is required and they must hold a WOWGR certificate.- A revenue trader outside the UK, will need a Duty Representative in the UK (Note: Annual charge will most likely apply).- The sample has been consumed for tasting notes."
131297;60;"560293";"0.00";"2023-11-21 21:00:00";"Ben Nevis - 1998 Butt 315 Bulk L 57% ABV | Held In Bond at Distillery";6;"60000.00";NA;0;0;NA;"2208.30.30.00";"60000.00";"60000.00";FALSE;NA;"/uploads/images/lots/thumbs/1697623555BenNevis1998-copy-2.jpg";"/uploads/images/lots/thumbs/16976437150G7A6122.JPG";FALSE;TRUE; -41567183;"https://www.thegrandwhiskyauction.com/lot-560293/ben-nevis-1998-butt-315-bulk-l-57-abv-held-in-bond-at-distillery";"560293"; -41567182;"Not Sold";"Bidding on this lot is not possible now";FALSE;FALSE;FALSE;FALSE;0;FALSE;FALSE;FALSE;FALSE;"highest_bid";"Highest Bid";"250.00";TRUE;FALSE;267580;131297;1697623555BenNevis1998-copy-2.jpg;1;0;1; 0;2023-10-25 02:06:01;2023-10-25 02:06:01;267581;131297;16976437150G7A6122.JPG; 0; 1; 1; 1;2023-10-25 02:06:01;2023-10-25 02:06:01;"Distillery";"Scotland";"Highlands";"315.67L";"Single Malt Whisky";"25 Year Old";"57%";NA;"Operational";NA;"Cask";NA;NA;"Butt";"450";"A wonderful chance to be the new owner of a 1998 25 Year Old Ben Nevis Single Malt Butt, held in bond at the distillery in Fort William. Filled in October 1998, this Butt has been maturing very nicely and was re-gauged on 26/07/2023. There are a few key facts and figures that have been listed below for your attention - New Bulk Litres - 315.67L | Strength 57% ABV | 180.47L of Alcohol. Unofficial Tasting Notes: Oak, Sweet, Slight effervescence, Lemon Barley, Roasted Oats and Cream Soda. If bottled at cask strength and at 70cl, this cask would approximately yield 450 bottles of 25 year old Ben Nevis Single Malt."
 89910;43;"392834";"34750.00";"2022-07-11 21:19:34";"Ben Nevis - 1996 Refill Hogshead - 168 Bulk L 50% ABV | Held In Bond";8;"5000.00";NA;0;0; 2;NA;"34750.00";"34750.00";FALSE;"7c8b72146cc7eb1761d462eb86287a01d21b5e7a";"/uploads/images/lots/thumbs/1657104925Image-06-07-2022-at-11.05.jpg";"/uploads/images/lots/thumbs/1657121581IMG-5162.JPG";TRUE;TRUE; -84593209;"https://www.thegrandwhiskyauction.com/lot-392834/ben-nevis-1996-refill-hogshead-168-bulk-l-50-abv-held-in-bond";"392834"; -84593208;"Payment Received";"Bidding on this lot is not possible now";FALSE;FALSE;FALSE;FALSE;1;FALSE;FALSE;FALSE;FALSE;"winning_bid";"Winning Bid";"250.00";TRUE;TRUE;173770; 89910;1657104925Image-06-07-2022-at-11.05.jpg;1;0;1; 0;2022-07-06 11:55:32;2022-07-06 11:55:32;175657; 89910;1657121581IMG-5162.JPG; 0; 1; 1; 3;2022-07-06 16:33:02;2022-07-06 16:33:02;"Official";"Scotland";"Highlands";"150L";"Single Malt Whisky";"26 Year Old";"50%";NA;"Operational";NA;"Cask";NA;"764";"Refill Hogshead";NA;"A wonderful chance to be the new owner of a 26 Year Old Ben Nevis Single Malt Cask, held in bond at the distillery in Fort William. Filled on the 10th of May 1996, cask #764 has been maturing very nicely in a refill hogshead and was re-gauged on 01/07/2022. There are a few key facts and figures that have been listed below for your attention - If bottled at cask strength and at 70cl, this cask would approximately yield 240 bottles of 26 year old Ben Nevis Single Malt."
118709;54;"502563";"32000.00";"2023-05-23 21:20:37";"Dalmore - 2005 Barrel - 149.7 Bulk @ 55.9% - In Bond At Broxburn";8;"5000.00";NA;0;0; 2;"2208.30.30.00";"32000.00";"32000.00";FALSE;"2a8a15f1fccbf07279ef24c839182d5f102cdb20";"/uploads/images/lots/thumbs/1684340533dalmore1-.png";"/uploads/images/lots/thumbs/16843427610G7A3590.JPG";TRUE;TRUE; -57290746;"https://www.thegrandwhiskyauction.com/lot-502563/dalmore-2005-barrel-1497-bulk-at-559-in-bond-at-broxburn";"502563"; -57290745;"Payment Received";"Bidding on this lot is not possible now";FALSE;FALSE;FALSE;FALSE;1;FALSE;FALSE;FALSE;FALSE;"winning_bid";"Winning Bid";"250.00";TRUE;TRUE;238531;118709;1684340533dalmore1-.png;1;0;1; 0;2023-05-17 17:22:14;2023-05-17 17:59:29;238545;118709;16843427610G7A3590.JPG; 0; 1; 1; 1;2023-05-17 17:59:22;2023-05-17 17:59:29;NA;"Scotland";"Highlands";"149.7L";"Single Malt Whisky";"17 Year Old";"55.9%";NA;"Operational";NA;"Cask";NA;"3800227";"Barrel";"212";"A great chance to be the new owner of a 03/11/2005 Dalmore Barrel, held in bond at Broxburn. The barrel number is #3800227 and has been maturing very nicely and was re-gauged on 02-March-2023. There a few key facts and figures that have been listed below for your attention - If bottled at cask strength and at 70cl, this cask would approximately yield 212 bottles of 17 Year Old 2005 Dalmore single malt. Unofficial Tasting Notes - Nose ~ Fresh hay, sweet malt biscuit cinnamon spice, fresh thyme and lemon zest.Palate ~ Sweet oak, lemon zest, light oat spices, digestive biscuit With Water ~ Water brings out a soft floral edge. Terms of Sale -"
144486;68;"630884";"29250.00";"2024-05-14 21:24:38";"Port Charlotte - 2004 Refill Sherry Hogshead - 251 Bulk L 55.9% | Held in bond at Bruichladdich";8;"5000.00";NA;0;0; 2;"2208.30.30.00";"29250.00";"29250.00";FALSE;"ef2265cd38202a726b83eb7584830522adc41084";"/uploads/images/lots/thumbs/1715155867Port-Charlotte-2004-Refill-Sherry-Hogshead.png";"";TRUE;TRUE; -26445705;"https://www.thegrandwhiskyauction.com/lot-630884/port-charlotte-2004-refill-sherry-hogshead-251-bulk-l-559-held-in-bond-at-bruichladdich";"630884"; -26445704;"Payment Received";"Bidding on this lot is not possible now";FALSE;FALSE;FALSE;FALSE;1;FALSE;FALSE;FALSE;FALSE;"winning_bid";"Winning Bid";"250.00";TRUE;TRUE;301806;144486;1715155867Port-Charlotte-2004-Refill-Sherry-Hogshead.png;1;0;1; 0;2024-05-08 09:11:16;2024-05-08 09:11:35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Scotland";"Islay";"251L";"Single Malt Whisky";"19 Year Old";"55.9%";NA;"Operational";NA;"Cask";NA;"1048";"Refill Sherry Hogshead";"358";"The new owner must already hold an account at Bruichladdich. A wonderful chance to be the new owner of a 2004 Port Charlotte Refill Sherry Hogshead held in bond at the distillery. Filled on 24/09/2004, this Hogshead #1048 has been maturing very nicely and was re-gauged on 19/04/2024. There are a few key facts and figures that have been listed below for your attention - * New Bulk Litres - 251L | Strength 55.9% ABV | 141.4L of Alcohol. If bottled at cask strength and at 70cl, this cask would approximately yield 358 bottles of 19-year-old Port Charlotte. * Transfer of the cask to the new buyer is subject to an admin fee, payable to Bruichladdich. * All cask storage fees have been settled prior to this sale. * For moving forward please ensure you are aware of the associated storage fees. * All costs relating to removing the cask from bond, bottling, storage, re-gauging and moving in the future are the sole responsibility of the buyer. This includes VAT and any UK excise duty. * Upon payment being transferred to The Grand Whisky Auction Ltd, then and only then will legal ownership of the cask be transferred to the new buyer. All funds are held by the company until the buyer is in receipt of the cask. * Should the new owner be a UK revenue trader (business), registration with HMRC is required and they must hold a WOWGR certificate. * A revenue trader outside the UK, will need a Duty Representative in the UK (Note: Annual charge will most likely apply)"
130795;59;"552358";"27000.00";"2023-10-24 22:04:10";"Speyside - 1995 Butt 328 Bulk L 59.2% ABV | Held In Bond at Distillery";8;"10000.00";NA;0;0; 2;"2208.30.30.00";"27000.00";"27000.00";FALSE;"3a3413932d1bac55184998ce46fe66bd98cefed0";"/uploads/images/lots/thumbs/1697624326Speyside-Cask-Photo-copy.jpg";"/uploads/images/lots/thumbs/16976437180G7A6124.JPG";FALSE;TRUE; -43982533;"https://www.thegrandwhiskyauction.com/lot-552358/speyside-1995-butt-328-bulk-l-592-abv-held-in-bond-at-distillery";"552358"; -43982532;"Payment Received";"Bidding on this lot is not possible now";FALSE;FALSE;FALSE;FALSE;1;FALSE;FALSE;FALSE;FALSE;"winning_bid";"Winning Bid";"250.00";TRUE;TRUE;265788;130795;1697624326Speyside-Cask-Photo-copy.jpg;1;0;1; 0;2023-10-18 11:18:55;2023-10-18 16:42:26;267137;130795;16976437180G7A6124.JPG; 0; 1; 1; 1;2023-10-18 16:42:02;2023-10-18 16:42:26;NA;"Scotland";"Speyside";"328L";"Single Malt Whisky";"28 Year Old";"59.2%";NA;"Operational";NA;"Cask";NA;"21";"Butt";"468";"A wonderful chance to be the new owner of a 22/08/1995 Speyside Single Malt Butt, held in bond with Speyside Distillers. Filled 08/1995, this Butt was re-gauged on 26/07/2023. There are a few key facts and figures that have been listed below for your attention - New Bulk Litres - 328L | Strength 59.2% ABV | 194.20L of Alcohol. If bottled at cask strength and at 70cl, this cask would approximately yield 468 bottles of 28 year old Speyside Single Malt. Unofficial Tasting Notes: Charred, Sweet Oak, Sharp Butter, Lively Citrus, Lemon and Cereal."
 96251;46;"421942";"24250.00";"2022-10-03 21:24:38";"Bruichladdich - 2012 Mouton Rothschild Wine HHD - 198 Bulk L 61.4% | Held In Bond At Distillery";8;"2500.00";NA;0;0; 2;NA;"24250.00";"24250.00";FALSE;"f5edece93d1a15f2a234bee747aabae4d3bb5ba5";"/uploads/images/lots/thumbs/1664352957Image-28-09-2022-at-09.15.jpg";"/uploads/images/lots/thumbs/16643676691942.jpg";TRUE;TRUE; -77335305;"https://www.thegrandwhiskyauction.com/lot-421942/bruichladdich-2012-mouton-rothschild-wine-hhd-198-bulk-l-614-held-in-bond-at-distillery";"421942"; -77335304;"Payment Received";"Bidding on this lot is not possible now";FALSE;FALSE;FALSE;FALSE;1;FALSE;FALSE;FALSE;FALSE;"winning_bid";"Winning Bid";"250.00";TRUE;TRUE;191162; 96251;1664352957Image-28-09-2022-at-09.15.jpg;1;0;1; 0;2022-09-28 09:16:05;2022-09-28 13:21:21;192007; 96251;16643676691942.jpg; 0; 1; 1; 1;2022-09-28 13:21:10;2022-09-28 13:21:21;"Official";"Scotland";"Islay";"198L";"Single Malt Whisky";"10 Year Old";"61.4%";NA;"Operational";NA;"Cask";NA;"2240";"Mouton Rothschild Wine HHD";NA;"A great chance to be the new owner of a 02/07/2012 Bruichladdich Single Malt Mouton Rothschild Wine Hogshead Cask, held in bond at the distillery. Cask #2240 is a Mouton Rothschild Wine Hogshead has been maturing very nicely and was re-gauged on 02/09/2022. There a few key facts and figures that have been listed below for your attention - If bottled at cask strength and at 70cl, this cask would approximately yield 282 bottles of 10 Year Old 2012 Bruichladdich single malt. The buyer is responsible for the administration fee and is payable to Bruichladdich. Unofficial Tasting Notes - Colour: Ripe barley - Nose: Fresh ripe fleshy fruits, syrup pudding with a hint of lemon peel and fresh garden foliage. - Palate: Sweet oak, fleshy fruits - nectarines and a nudge of orange. Super depth and weight like syrup sponge. - Finish: Sweet oak & plum. Please Note -"
121221;55;"512326";"23500.00";"2023-06-20 22:15:46";"Bruichladdich - 2010 Rivesaltes Hogshead - 215 Bulk L 57.1% | Held in bond at Bruichladdich";8;"5000.00";NA;0;0; 2;"2208.30.30.00";"23500.00";"23500.00";FALSE;"037880d210451b590c3a5229ea350645724e7e15";"/uploads/images/lots/thumbs/1686736249Bruichladdich-Rivesaltes-3copy.png";"/uploads/images/lots/thumbs/16867503220G7A8717.JPG";TRUE;TRUE; -54868237;"https://www.thegrandwhiskyauction.com/lot-512326/bruichladdich-2010-rivesaltes-hogshead-215-bulk-l-571-held-in-bond-at-bruichladdich";"512326"; -54868236;"Payment Received";"Bidding on this lot is not possible now";FALSE;FALSE;FALSE;FALSE;1;FALSE;FALSE;FALSE;FALSE;"winning_bid";"Winning Bid";"250.00";TRUE;TRUE;243446;121221;1686736249Bruichladdich-Rivesaltes-3copy.png;1;0;1; 0;2023-06-14 10:51:04;2023-06-14 10:51:04;243932;121221;16867503220G7A8717.JPG; 0; 1; 1; 2;2023-06-14 14:45:25;2023-06-14 14:45:25;"Distillery";"Scotland";"Islay";"215L";"Single Malt Whisky";"12 Year Old";"57.1%";NA;"Operational";NA;"Cask";NA;NA;"Rivesaltes Hogshead";"307";"A great chance to be the new owner of a 13/09/2010 Bruichladdich Rivesaltes Hogshead, held in bond at the Bruichladdich distillery.Cask #2145 is a Rivesaltes Hogshead has been maturing very nicely and was re-gauged on 11/05/2023. There a few key facts and figures that have been listed below for your attention. If bottled at cask strength and at 70cl, this cask would approximately yield 307 bottles of 12 Year Old 2010 Bruichladdich Rivesaltes single malt. The buyer is responsible for the administration fee and is payable to Bruichladdich. Unofficial Tasting Notes- Colour: Deep mahogany.- Nose: Rich dark dried fruits, figs, sticky dates with Demerara sugar sprinkled of caramelised creamy vanilla panna cotta. - Palate: Rich sticky dates with deep gentle peat, lashings of vanilla, cinnamon and ginger balanced with fruits and oak. - Finish: Reassuring peat smoke with raisins and oak spices. Please Note - • All cask storage fees have been settled prior to this sale. For moving forward please ensure you are aware of the associated weekly storage fees. • All costs relating to removing the cask from bond, bottling, storage, re-gauging and moving in the future are the sole responsibility of the buyer. This includes VAT and any UK excise duty. • Upon payment being transferred to The grand Whisky Auction ltd, then and only then will legal ownership of the cask be transferred to the new buyer. All funds are held by the company until the buyer is in receipt of the cask. • Should the new owner be a UK revenue trader (business), registration with HMRC is required and they must hold a WOWGR certificate. • A revenue trader outside the UK, will need a Duty Representative in the UK (Note: Annual charge will most likely apply). • The sample has been consumed for tasting notes. • It is preferable that the buyer has an account with Bruichladdich distillery. Should they not, they must have an account at a WOWGR registered warehouse within the UK that are accepting casks at this time. The seller will move the cask to this location but the buyer is responsible for paying all costs relating to shipping."
147022;69;"641559";"20250.00";"2024-06-12 21:00:00";"Speyside - 1995 Butt 350 Bulk L 62.2% ABV | Held In Bond at Distillery";8;"20000.00";NA;0;0; 2;"2208.30.30.00";"20250.00";"20250.00";FALSE;"86970064ea53b6d66b7c53cbc91c58b4f06fc6fd";"/uploads/images/lots/thumbs/1717588915Speyside-Butt-9.png";"/uploads/images/lots/thumbs/17176748180G7A2186.JPG";FALSE;TRUE; -23941583;"https://www.thegrandwhiskyauction.com/lot-641559/speyside-1995-butt-350-bulk-l-622-abv-held-in-bond-at-distillery";"641559"; -23941582;"Payment Received";"Bidding on this lot is not possible now";FALSE;FALSE;FALSE;FALSE;1;FALSE;FALSE;FALSE;FALSE;"winning_bid";"Winning Bid";"250.00";TRUE;TRUE;304571;147022;1717588915Speyside-Butt-9.png;1;0;1;NA;2024-06-05 13:02:05;2024-06-06 12:53:41;306049;147022;17176748180G7A2186.JPG; 0; 1; 1;NA;2024-06-06 12:53:39;2024-06-06 12:53:41;"Distillery";"Scotland";"Speyside";"350 Bulk L";"Single Malt Whisky";"28 Year Old";"62.2%";NA;"Operational";NA;"Cask";NA;"9";"Butt";"511";"The new owner must already hold an account at Speyside Distillery. A wonderful chance to be the new owner of a 28 Year Old 1995 Speyside Butt held in bond at the distillery. Filled in 21/11/1995, this Butt #9 has been maturing very nicely and was re-gauged on 23/August/2023 There are a few key facts and figures that have been listed below for your attention - * New Bulk Litres - 350L | Strength 62.2% ABV | 217.7L of Alcohol. If bottled at cask strength and at 70cl, this cask would approximately yield 511 bottles of 28-year-old Speyside Whisky. * Transfer of the cask to the new buyer is subject to an admin fee, payable to Bruichladdich. * All cask storage fees have been settled prior to this sale. * For moving forward please ensure you are aware of the associated storage fees. * All costs relating to removing the cask from bond, bottling, storage, re-gauging and moving in the future are the sole responsibility of the buyer. This includes VAT and any UK excise duty. * Upon payment being transferred to The grand Whisky Auction ltd, then and only then will legal ownership of the cask be transferred to the new buyer. All funds are held by the company until the buyer is in receipt of the cask. * Should the new owner be a UK revenue trader (business), registration with HMRC is required and they must hold a WOWGR certificate. * A revenue trader outside the UK, will need a Duty Representative in the UK (Note: Annual charge will most likely apply)"
144484;68;"630882";"17500.00";"2024-05-14 21:34:34";"Bruichladdich - 2004 Refill Sherry Hogshead - 250 Bulk L 59.7% | Held in bond at Bruichladdich";8;"2500.00";NA;0;0; 2;"2208.30.30.00";"17500.00";"17500.00";FALSE;"4d186afe41eb80f94cb4585aabb00a931c46b439";"/uploads/images/lots/thumbs/1715155891Bruichladdich-2004-Refill-Sherry-Hogshead-1396.png";"/uploads/images/lots/thumbs/17150013000G7A0736.JPG";TRUE;TRUE; -26445109;"https://www.thegrandwhiskyauction.com/lot-630882/bruichladdich-2004-refill-sherry-hogshead-250-bulk-l-597-held-in-bond-at-bruichladdich";"630882"; -26445108;"Payment Received";"Bidding on this lot is not possible now";FALSE;FALSE;FALSE;FALSE;1;FALSE;FALSE;FALSE;FALSE;"winning_bid";"Winning Bid";"250.00";TRUE;TRUE;301808;144484;1715155891Bruichladdich-2004-Refill-Sherry-Hogshead-1396.png;1;0;1; 0;2024-05-08 09:11:42;2024-05-08 09:14:15;300656;144484;17150013000G7A0736.JPG; 0; 1; 1; 1;2024-05-06 14:15:02;2024-05-08 09:14:15;NA;"Scotland";"Islay";"250L";"Single Malt Whisky";"19 Year Old";"59.7%";NA;"Operational";NA;"Cask";NA;"1396";"Refill Sherry Hogshead";"357";"The new owner must already hold an account at Bruichladdich. A wonderful chance to be the new owner of a 2004 Bruichladdich Refill Sherry Hogshead held in bond at the distillery. Filled in 25/11/2004, this Hogshead #1396 has been maturing very nicely and was re-gauged on 19/04/2024. There are a few key facts and figures that have been listed below for your attention - * New Bulk Litres - 250L | Strength 59.7% ABV | 150.40L of Alcohol. If bottled at cask strength and at 70cl, this cask would approximately yield 357 bottles of 19 Year Old Bruichladdich. Unofficial Tasting Notes - Nose: Sweet vanilla, smouldering heat and oak, plums and crumble. - Palate: A warming peat, stoned fruits and a nice antique oak throughout. * Transfer of the cask to the new buyer is subject to an admin fee, payable to Bruichladdich. * All cask storage fees have been settled prior to this sale. * For moving forward please ensure you are aware of the associated storage fees. * All costs relating to removing the cask from bond, bottling, storage, re-gauging and moving in the future are the sole responsibility of the buyer. This includes VAT and any UK excise duty. * Upon payment being transferred to The grand Whisky Auction ltd, then and only then will legal ownership of the cask be transferred to the new buyer. All funds are held by the company until the buyer is in receipt of the cask. * Should the new owner be a UK revenue trader (business), registration with HMRC is required and they must hold a WOWGR certificate. * A revenue trader outside the UK, will need a Duty Representative in the UK (Note: Annual charge will most likely apply) * A reminder that the sample shown in the lot was for confirmation of the colour. It is not included in the sale."
