"title";"buyer_price";"hammer_price";"link";"id";"status";"sold";"end_date";"description";"filling_date";"cask_number";"distillery";"year_distilled";"age";"cask_type";"original_litres_alcohol";"original_bulk_litres";"original_strength";"regauged_litres_alcohol";"regauged_bulk_litres";"regauged_strength"
"1 Sherry Hogshead Of Macallan 1989 - Cask 1248 - Held In Bond";278530;242200;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-sherry-hogshead-of-macallan-1989-cask-1248-held-in-bond&mproductId=8415533990052&sort_by=p1766765112";"760";"Winning Bid";TRUE;17569;"One cask of Macallan Glenlivet Single Malt Scotch Whisky. Distilled 1989. Originally filled on 27/01/1989 into a refill Sherry Hogshead with 262 bulk Litres. This cask was regauged on 12/12/2017. The new regauged litres were found to be approximately 180 Bulk litres at a strength of 52.75%. This would currently yield approximately 257 x 70cl bottles of whisky currently at 29 years old Distillery: Macallan This cask is held at Macallan Distillery Scotland. Annual storage fees currently stand at £22.50 per annum and must be arranged direct with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s.. Please be aware of this regulation before bidding. We can assist you in getting a UK representative if required. As another cask of Macallan in bond arrives for auction, it is worth remembering that this year the new Macallan distillery will open to the public. As full production commences at this new distillery the original Macallan distillery - where this very cask was distilled back in 1989 - will cease production. Leaving aside the arguments about the implications of this decision, the fact remains that this is a scarce opportunity to acquire a cask of Macallan from the original distillery - a liquid that some may come to consider increasingly historic and valuable in light of these aforementioned forthcoming developments. On top of this, this particular cask has spent its entire life maturing on site at the distillery. Something which adds that extra layer of history and romance to what is, most importantly, an excellent whisky in its own right. Whisky Online Auctions Tasting Notes: Colour: Gold Nose: This is a classical, aged Speyside profile with a forward note of honey, buttered toast, sweet and savoury patisserie, yellow flowers, pollen and various notes of toasted sunflower seeds, cereals, hay and, with a little opening up time, a rather beautiful and fragrant aroma of orange peel and citrus cake. Develops with white and green fruits and more citrus aspects. Palate: Surprisingly spicy. Spice cake, cinnamon buns, pumpernickel and rye breads, olive oil, a light mineral aspect and subtle earthiness. Develops towards quince, turmeric and this orangey note again, manifesting here as orange bitters and mulling spices. Finish: Long with drying earthiness, light waxes and more cereal and hay loft notes. Still slightly buttery in texture with some background green fruits. Comments: A perfect example of well-aged Macallan that displays the distillate weight and character extremely well without any undue or excess influence from the cask. This could be bottled now but it seems a shame not to allow it to reach 30 years. The freshness and the flavour profile are still perfectly vibrant and I see no reason why the cask could not be allowed to mature for anything up to a further five years.";NA;"Cask No: 1248";NA;"Distilled: 1989";"Age: 29 years old";"Cask Type: Refill Sherry Hogshead.";"Original Filled : Litres of Alcohol 166.20 @ 63.5%";"Original Bulk Litres 262 @ 63.5%";"Original Bulk Litres 262 @ 63.5%";"New re-gauged: 12/12/2017 - 95.10 litres of Alcohol";"New re-gauged 180 Bulk Litres";"Current Cask Strength: 52.75%"
"1 Refill Sherry Butt Of Macallan 1996 - Cask 15538 - Held In Bond";193545;168300;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-sherry-butt-of-macallan-1996-cask-15538-held-in-bond&mproductId=8440424726692&sort_by=p1766765112";"321";"Winning Bid";TRUE;17534;"One cask of Macallan Glenlivet Single Malt Scotch Whisky, originally purchased direct from Macallan by the current owners. Distilled 1996. Originally filled into a refill Sherry Butt.This cask was regauged on 27/07/2017. The regauged litres were found to be approximately 368.24 Bulk litres at a strength of 61.40%. This would currently yield approximately 526 x 70cl bottles of whisky currently at 21 years old This cask is held in bonded warehouse No 2; Scotland. Annual storage must be arranged direct with the Warehouse after the sale. Contact details will be given by the current cask owner.Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner.Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer).Please note: the original certificate of ownership was lost in a fire, A new transfer of ownership has been drafted up by the current owners. Any further queries please do not hesitate to ask. Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s.. Please be aware of this regulation before bidding. Whisky Online Auctions Tasting Notes: Colour: Amber. Nose: A nose that is surprisingly soft for the strength. Always a good sign. This one is full of subtle aromas of treacle cake, banana loaf, wood resins, cocktail bitters, dark chocolate,  camphor, dried mint and sultanas. Overall and earthy, fulsome and satisfying sherry character. Palate: Ginger bread, coal dust, dried mushrooms, wet leaves, pine resin, cured meats and some shining red fruits. Has quite a bold spiciness with black pepper and caraway, then some soft tannins and further chocolate notes. Finish: Long, oily and with an even undulation between dark fruits, chocolate and spices. quite satisfying. Comments: Another bold and well-structured mid-age Macallan. This one has a clear and clean sherry influence which should really start to hit perfect within the next decade. Another one that is well worth hanging onto and being patient for. Even if it is already excellent.";NA;"Cask No: 15538";"Distillery: Macallan";"Distilled: 1996";"Age: 21 years old";"Cask Type: Refill Sherry Butt.";"Original Filled on 16/12/1996 With: 318.7 Litres of Alcohol";NA;NA;"Re-gauged: 27/07/2017 - 226.1 litres of Alcohol = 368 Bulk Litres";"Re-gauged: 27/07/2017 - 226.1 litres of Alcohol = 368 Bulk Litres";"Cask Strength: 61.40% ABV"
"1 Sherry Hogshead Of Macallan 1990 - Cask 4048 - Held In Bond";155365;135100;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-sherry-hogshead-of-macallan-1990-cask-4048-held-in-bond&mproductId=8440427675812&sort_by=p1766765112";"1254";"Winning Bid";TRUE;17534;"One cask of Macallan Glenlivet Single Malt Scotch Whisky. Distilled 1990. Originally filled into a 3rd fill Sherry Hogshead. This cask was regauged on 15/08/2017. The regauged litres were found to be approximately 168.40 Bulk litres at a strength of 50.02%. This would currently yield approximately 240 x 70cl bottles of whisky currently at 27 years old. This cask is held at Chivas Brothers Paisley Scotland. Annual storage must be arranged direct with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding.";NA;"Cask No: 4048";"Distillery: Macallan";"Distilled: 1990";"Age: 27 years old";"Cask Type: 3rd Fill Sherry Hogshead.";NA;NA;NA;"Litres of Alcohol Re-gauged: 15/08/2017 - 84.6 LOA = 168.40 Bulk litres";"Litres of Alcohol Re-gauged: 15/08/2017 - 84.6 LOA = 168.40 Bulk litres";"Cask Strength: 50.02% ABV"
"1 Refill Sherry Hogshead Of Macallan 1994 - Cask 2316 - Held In Bond";104190;90600;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-sherry-hogshead-of-macallan-1994-cask-2316-held-in-bond&mproductId=8440431542436&sort_by=p1766765112";"881";"Winning Bid";TRUE;17443;"One cask of Macallan Glenlivet Single Malt Scotch Whisky, originally purchased direct from Macallan by the current owners. Distilled 1994. Originally filled into a refill sherry Hogshead. This cask was regauged on 06/07/2017. The regauged litres of alcohol were found to be approximately 141.09 Bulk litres at a strength of 58.90%. This would currently yield approximately 201 x 70cl bottles of whisky currently at 23 years old. This cask is held in bonded warehouse No 2; Scotland. Annual storage must be arranged direct with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Please note: the original certificate of ownership was lost in a fire, a new transfer of ownership has been drafted up by the current owners. Any further queries please do not hesitate to ask. Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding. Whisky Online Auctions Tasting Notes: Macallan 1994. Refill sherry hogshead. Cask number 2316. 58.9%. Colour: Full Amber Nose: An immediate and beautifully earthy, nervous and resinous sherry. Surprisingly old style and reminiscent of some old Campbell Hope & King bottlings of Macallan with these bold notes of walnut wine, earthen floors, dunnage, many dark fruits such as dates, prune juice and sultanas along with rancio and pipe tobacco. Develops further tertiary notes of mint leaf, eucalyptus and camphor. Quite a remarkable nose! Palate: The sherry character still dominates, although the weightiness of the distillate still matches it well and there is wonderful balance between these notes of truffle, earth, fruit jams, molasses and black pepper. Quite stunning really. With time some flecks of green fruit, tree bark and hessian emerge. Finish: Long and very warm. A glow of dense, chocolatey sherry with dried herbs and morello cherries. Comments: A spectacular and delightfully old style Macallan. Reminiscent in some ways of some early 1970s Glendronach's. The sherry is clean but dense and earthy, although never too intense or overbearing on the spirit. This could easily be bottled now or be left for up to another five years. Any longer however and I get the sense that it could easily start to become imbalanced.";NA;"Cask No: 2316";"Distillery: Macallan Distilled: 1994";"Distillery: Macallan Distilled: 1994";"Age: 23 years old";"Cask Type: Refill Sherry Hogshead";"Original Filled on 15//03/1994 With:155.50 Litres of Alcohol";NA;NA;NA;"Re-gauged: 06/07/2017 - 141.09 Bulk litres Cask Strength: 58.90% ABV";"Re-gauged: 06/07/2017 - 141.09 Bulk litres Cask Strength: 58.90% ABV"
"1 Hogshead Of Macallan 1989 - Cask 9313 - Held In Bond";103615;90100;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-macallan-1989-cask-9313-held-in-bond&mproductId=8440433311908&sort_by=p1766765112";"231";"Winning Bid";TRUE;17830;"One cask of Macallan Single Malt Scotch Whisky. Distilled 1989. Originally filled on 12/06/1989 into a Third Fill Hogshead with 250.70 bulk Litres. This cask was regauged on 03/09/2018. The regauged litres were found to be approximately 149.70 Bulk litres at a strength of 49.84%. This would currently yield approximately 213 x 70cl bottles of whisky currently at 29 years old This cask is held at Chivas Brothers Scotland. Annual storage must be arranged direct with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding. We can assist you in getting a UK representative if required. Whisky Online Auctions Tasting Notes: Macallan Cask #9313 Colour: Straw Nose: Light and very fresh. Cut grass, bailed hay, straw, citrus rind, peppery watercress and some light notes of shoe polish and new leather. Definitely towards the softer side of Macallan. With a little breathing time it begins to reveal herbal notes such as fresh oregano and rosemary. Also some earthier, rootier qualities and a sweetness that alludes to milk bottle sweets. Palate: Similarly soft, delicate and gentle. Lots of citrus oils, earthy turmeric, a gentle sunflower oil note and some supple mineral notes. Again these greener qualities come through as chopped parsley and chives, cut grass and a foresty bracken note. Some hints of pine resin, clove, more polish notes and a light green pepper aspect. Finish: Medium in length. A rising sootiness, more lemon aspects although this time manifesting in a more medicinal, cough syrupy fashion. These soft peppery qualities persist into the aftertaste giving a warming sensation. Comments: A cask which really shows the lighter side of Macallan. Could potentially last until 30 quite well, although probably not much beyond. At the moment the alcohol level gives good bite and mouthfeel which helps bolster the otherwise rather soft qualities of the distillate.";NA;"Cask No: 9313";"Distillery: Macallan";"Distilled: 1989";"Age: 29 years old";"Cask Type: Third Fill Hogshead.";"Original Filled: Litres of Alcohol 159.20 @ 63.50% Original Bulk Litres 250.70 @ 63.50%";"Original Filled: Litres of Alcohol 159.20 @ 63.50% Original Bulk Litres 250.70 @ 63.50%";"Original Filled: Litres of Alcohol 159.20 @ 63.50% Original Bulk Litres 250.70 @ 63.50%";"New re-gauged: 03/09/2018 - 74.90 litres of Alcohol";"New re-gauged: 149.70 Bulk Litres";"Current Cask Strength: 49.84%"
"1 Refill Sherry Hogshead Of Macallan 1994 - Cask 2317 - Held In Bond";94415;82100;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-sherry-hogshead-of-macallan-1994-cask-2317-held-in-bond&mproductId=8440433672356&sort_by=p1766765112";"882";"Winning Bid";TRUE;17443;"One cask of Macallan Glenlivet Single Malt Scotch Whisky, originally purchased direct from Macallan by the current owners. Distilled 1994. Originally filled into a refill sherry Hogshead. This cask was regauged on 06/07/2017. The regauged litres of alcohol were found to be approximately 186.45 bulk litres at a strength of 60.5%. This would currently yield approximately 266 x 70cl bottles of whisky at 23 years old. This cask is held in bonded warehouse No 2; Scotland. Annual storage must be arranged direct with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Please note: the original certificate of ownership was lost in a fire, A new transfer of ownership has been drafted up by the current owners. Any further queries please do not hesitate to ask. Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s.. Please be aware of this regulation before bidding. Whisky Online Auctions Tasting Notes: Macallan 1994. Refill sherry hogshead. Cask number 2317. 60.5%. Colour: Light Amber Nose: Lighter, leafier and a little hotter than cask 2316. This is more towards green pepper, dried mushrooms, red fruits and notes of pollen, wild flowers, mead and dried herbs. More powerful and perhaps more singular than its sibling but not quite in the same old style vein. With time becomes more menthol and waxy giving way to some lovely green fruits. Palate: Juicy fruits in the form of fruit jams and cordials with some dark chocolate, mint choc chip ice cream and herbal liqueurs. Cocktail bitters, caraway, rosewater and beeswax all appear. It wears its high abv surprisingly well. There is an oiliness and more overt fruitiness that betrays the fact this one is more dominated by the distillate and the cask is slightly less active than 2316. A meatiness towards the finish like beef stock. Finish: Long with plenty of green fruit, wet leaves, cigar boxes, cured meats and peppery notes. Towards the end quite a distinctive note of orange bitters and orange peel emerges. Comments: Perhaps not as stellar as 2316 but this is still excellent Macallan. The freshness means it could easily stand further ageing for a number of years should the purchaser choose to keep it in bond for extended maturation. However, it is already an excellent Macallan and it would not be too soon to bottle it in the coming year.";NA;"Cask No: 2317";"Distillery: Macallan";"Distilled: 1994";"Age: 23 years old";"Cask Type: Refill Sherry Hogshead";"Original Filled With 157.40 litres of Alcohol";NA;NA;NA;"Re-gauged: 06/07/2017 - 186.45 bulk litres";"Strength: 60.5% ABV"
"1 Refill Customer Hogshead Of Macallan 1989 - Cask 3480 - Held In Bond";80730;70200;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-customer-hogshead-of-macallan-1989-cask-3480-held-in-bond&mproductId=8440434262180&sort_by=p1766765112";"203";"Winning Bid";TRUE;17779;"One cask of Macallan Glenlivet Single Malt Scotch Whisky distilled 1989. Originally filled on 06/03/1989 into a refill Customer Hogshead with 249 bulk Litres. This cask was regauged on 04/06/2018. The new regauged litres were found to be approximately 132 Bulk litres at a strength of 42.4%. This would currently yield approximately 188 x 70cl bottles of whisky currently at 29 years old This cask is held at Macallan Distillery, Easter Elchies House, Scotland. Annual storage must be arranged directly with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond/bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representatives. Please be aware of this regulation before bidding. We can assist you in getting a UK representative if required. Whisky Online Auctions Tasting Notes: Macallan Cask #3480 Colour: White Wine Nose: Surprisingly, and rather thrillingly, quite fruity. There are these distinctly tropical aspects which nod towards these old Irish single malts from similar vintages. Lots of lemon, melon, ripe apple, gooseberry, banana and guava. An even mix of ripe green and tropical fruits that gives an abundance of freshness. There’s also raw malt, buttery cereals and barley water. A wonderful example of a naked and distillery character forward old Macallan. Palate: Cornflour, buttered toast and earthier, sootier qualities as well. Some hints of peppery watercress, ointment, sack cloth and lemon balm. Milk bottle sweeties, cornflakes and drier notes of crushed aspirin and menthol gum. Some dried herbs as well, bouquet garni, olive oil and a hint of angelic root. Light in texture but there’s still a firmness about it overall which is quite satisfying. Finish: Good length. Rather oily, buttery, cereal and lemony. Moving more towards a classical style Speyside. Comments: Ready for bottling now. More textbook on the palate but the nose is really terrific. Overall an excellent Macallan that shows the distillery character up front and in a lighter profile than usual. The emphasis on fruits is extremely interesting.";NA;"Age: 29 years old Cask No: 3480";"Distillery: Macallan";"Distilled: 1989";"Age: 29 years old Cask No: 3480";"Cask Type: Refill Customer Hogshead.";"Original Filled: Litres of Alcohol 158 @ 63.5%";"Original Bulk Litres 249 @ 63.5%";"Original Bulk Litres 249 @ 63.5%";"New re-gauged: 04/06/2018 - 55.8 litres of Alcohol";"New re-gauged 132 Bulk Litres";"Current Cask Strength: 42.4%"
"1 Hogshead Of Macallan 1993 - Cask 4130 - Held In Bond";64285;55900;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-macallan-1993-cask-4130-held-in-bond&mproductId=8440434884772&sort_by=p1766765112";"956";"Winning Bid";TRUE;17352;"One cask of Macallan Glenlivet Single Malt Scotch Whisky, originally purchased direct from Macallan by the current owners, Distilled 1993. Originally filled with 252 bulk litres (55 Gallon) into a refill Hogshead. This cask was regauged on 04/04/2017. The regauged Litres Of Alcohol were found to be approximately 142 bulk litres at a strength of 55.6%. This would currently yield approximately 202 x 70cl bottles of whisky at 24 years old. A 20cl cask sample drawn on 15/03/2017. (See images for details) will be provided at the buyer request which will incur delivery cost. This cask is held in bond. Warehouse No 2; Scotland. Annual storage must be arranged direct with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Please note: the original certificate of ownership was lost in a fire, A new transfer of ownership has been drafted up by the current owners. Any further queries please do not hesitate to ask. Whisky Online Auctions Tasting Notes: Colour: Gold Nose: It’s a fresh and pretty classical, ‘naked’ style Macallan. Biscuit, varnished wood, a plush assortment of green fruits and even something tropical like a little passionfruit. Plenty typical notes of cereals, muesli – it’s quite savoury in fact – and a little green fruit compote. With water: becomes more mineral and gravelly. Notes of paprika and freshly ground white pepper. Again more very elegant tropical fruit notes linger in the back. Quite an intriguing nose for a Macallan – but the natural weight and heft of the distillate shines through well. Palate: A little hot on delivery but gives way nicely to tobacco leaf, gingerbread and muscovado sugar. Also some nice leathery notes follow along with a pleasant leafiness. I suspect this is a refill sherry hogshead. It’s also quite diverse from the nose but in a pleasantly surprising way, the sherry components were not so evident on the nose. With water: more spicy with water along with added notes of treacle, plum wine and a little camphor as well. Again quite sturdy, classical Macallan. Finish: Good length. Medium sweetness from the residual sherry influence along with some nutty and earthy notes which lift the whole thing nicely. Good balance between sweet and savoury throughout.";NA;"Cask No: 4130";"Distillery: Macallan";"Distilled: 1993";"Age: 24 years old";"Cask Type: Refill Hogshead";NA;NA;NA;NA;"Re-gauged: 04/04/2017 - 142 litres Strength: 55.6% ABV";"Re-gauged: 04/04/2017 - 142 litres Strength: 55.6% ABV"
"1 Sherry Hogshead Of Macallan 1993 - Cask 4131 - Held In Bond";60490;52600;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-sherry-hogshead-of-macallan-1993-cask-4131-held-in-bond&mproductId=8440435441828&sort_by=p1766765112";"955";"Winning Bid";TRUE;17352;"One cask of Macallan Glenlivet Single Malt Scotch Whisky, originally purchased direct from Macallan by the current owners. Distilled 1993. Originally filled with 246 bulk litres (54 Gallon) into a refill sherry Hogshead. This cask was regauged on 04/04/2017. The regauged litres of alcohol were found to be approximately 101 bulk litres at a strength of 53.3%. This would currently yield approximately 144 x 70cl bottles of whisky at 24 years old. A 20cl cask sample drawn on 15/03/2017 (See images for details) will be provided at the buyer request which will incur delivery cost. This cask is held in bonded warehouse No 2; Scotland. Annual storage must be arranged direct with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Please note: the original certificate of ownership was lost in a fire, A new transfer of ownership has been drafted up by the current owners. Any further queries please do not hesitate to ask. Whisky Online Auctions Tasting Notes: Colour: Amber Nose: Pow! Now this is Macallan! Beautifully resinous, mineral and nervous sherry. Ridden with nuts, wet earth, wax jackets, dundee cake, treacle and various dark fruit compotes. A wonderful throwback to style of Macallan that’s long disappeared from most contemporary bottlings. It feels like you could be nosing an old Anniversary Malt from the early 2000s. Goes on with some green fruit, black pepper, a little graphite perhaps – some dried mushrooms. With water: broader and more earthy with a beautiful and gentle streak of something medicinal like gentian. Some green peppercorns, aged pinot noir and furniture oil. Quite complex and compelling. Palate: A wonderful continuation of the nose. Many dark fruits: dates, fig jam, damsons, sultanas and raisins stewed in cognac. Pepper, black tea, molasses, a touch of old rum and some old Vin Juane wine and walnut oil. Many classical flavours such as aged Balsamico and rancio all make appearances as well. With water: again its earthier and drier. The sherry is a little more ‘free and easy’ not quite as taught and nervous as to begin with. More notes of various red and dark fruit jams, some coal hearth notes and more chewy walnut notes. Finish: Long, earthy, nicely drying, herbal and with resurgent notes of old balsamico, camphor and a little rancio. Comments: An excellent and truly classical Macallan in the way the sherry and distillate integrate beautifully and with great deft and balance. This one you could bottle straight away or leave for perhaps another 2-3 years. But my feeling is that this one is really approaching its zenith.";NA;"Cask No: 4131";"Distillery: Macallan";"Distilled: 1993";"Age: 24 years old";"Cask Type: Refill Sherry Hogshead";NA;NA;NA;NA;"Re-gauged: 04/04/2017 - 101 litres";"Strength: 53.3% ABV"
"1 Refill Hogshead Of Macallan 1995 - Cask 7739 - Held In Bond";59915;52100;"https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-hogshead-of-macallan-1995-cask-7739-held-in-bond&mproductId=8440436719780&sort_by=p1766765112";"799";"Winning Bid";TRUE;17471;"One cask of Macallan Glenlivet Single Malt Scotch Whisky, originally purchased direct from Macallan by the current owners. Distilled 1995. Originally filled into a refill Hogshead. This cask was regauged on 07/08/2017. The regauged litres were found to be approximately 165.33 Bulk litres at a strength of 60.0%. This would currently yield approximately 236 x 70cl bottles of whisky currently at 22 years old This cask is held in bonded warehouse No 2; Scotland. Annual storage must be arranged direct with the Warehouse after the sale. Contact details will be given by the current cask owner. Ownership of this cask is auctioned here in bond. The buyer will have ownership transferred to them once payment is processed post sale. Any costs relating to removal from bond / bottling will be the responsibility of the new cask owner. Once payment for this lot is received from the buyer, the money will be held by Whisky Online Ltd and only transferred to the seller once the buyer is in full legal receipt of the cask to ensure buyer's transaction is fully protected, (payment is strictly by money transfer). Please note: the original certificate of ownership was lost in a fire, A new transfer of ownership has been drafted up by the current owners. Any further queries please do not hesitate to ask. Non UK based owners/buyers must appoint a Duty Representative to act on his/her behalf for transfer of ownership. Customs & Excise refer to the owners as the representative’s. Please be aware of this regulation before bidding. Whisky Online Auctions Tasting Notes: Colour: Gold. Nose: A rather elegant, plush and fatty nose at first. Notes of wax, wood resin, camphor and furniture oil give way to greener and lusher fruit notes and floral scents such as geranium, rosehip and Turkish Delight. There are some notes of dried rosemary, motor oil, pistachio nuts and a background note of mint. Mouth: A big oily delivery full of spice, seville orange marmalade, fruit compotes, some traces of tar resin, pine cones and orange cocktail bitters. Notes of turmeric, greengages, lamp oil, hessian, clove rock and madeira cake. Quite rich, oily and intense. Finish: Lengthy and with more of these polished wood, oil and dark, preserved fruit qualities. Quite spicy towards the end and with a lingering leathery note. Comments: This is a big and relatively uncompromising example of Macallan, already showing good maturity at around 22 years of age. However, I feel it has great potential and could go to 30 years or more quite easily. A good one to sit on if you have the patience.";NA;"Cask No: 7739";"Distillery: Macallan";"Distilled: 1995";"Age: 22 years old";"Cask Type: Refill Hogshead";"Original Filled on 06/07/1995 With: 159.20 Litres of Alcohol";NA;NA;NA;"Re-gauged: 07/08/2017 - 165.33 Bulk litres";"Cask Strength: 60.00% ABV"
