"url","sold","auction_date","title","distillery","region","distillery_status","cask_type","currency","strength","bulk_litres","rla","filling_date","cask_filling","previous_spirit","regauged_date","age","bottles_at_cask_strength","hammer_price","country","auction_house","buyer_price","buyer_price_per_bottle_at_cask_strength","buyer_price_per_litre_of_alcohol"
"https://www.just-whisky.co.uk/product/macallan_1990_refill_hogshead_cask_no11164_held_in_bond_whiskybroker_1396615",FALSE,2019-07-30,"Macallan 1990 Refill Hogshead Cask No.11164","Macallan","Speyside","Operational","Hogshead","Great Britain Pound (£)",42.9,181.5976,77.9299,1990-01-01,"Second Fill","",2019-05-23,29.57,259.425142857143,71000,"Scotland","Just Whisky Auctions",8875,34.21,113.88
"https://www.just-whisky.co.uk/product/springbank_1994_hogshead_cask_no27_held_in_bond_at_springbank_distillery_1478328",FALSE,2024-09-30,"Springbank 1994 Hogshead Cask No.27 Held In Bond At Springbank Distillery","Springbank ","Campbeltown","Operational","Hogshead","Great Britain Pound (£)",43.8,140.3,61.6,1994-01-01,"Second Fill","Sherry",2024-08-13,30.75,200.428571428571,70000,"Scotland","Just Whisky Auctions",8750,43.66,142.05
"https://www.just-whisky.co.uk/product/springbank_2000_hogshead_cask_no112_held_in_bond_at_springbank_distillery_1490204",FALSE,2025-06-16,"Springbank 2000 Hogshead Cask No.112 Held In Bond At Springbank Distillery","Springbank ","Campbeltown","Operational","Hogshead","Great Britain Pound (£)",43.3,131.8,57.9,2000-01-01,"First Fill","Bourbon",2025-02-10,25.46,188.285714285714,35000,"Scotland","Just Whisky Auctions",4375,23.24,75.56
"https://www.just-whisky.co.uk/product/ben_nevis_1996_hogshead_cask_no1687_held_in_bond_at_ben_nevis_distillery_1467628",TRUE,2023-12-31,"Ben Nevis 1996 Hogshead Cask No.1687 Held In Bond At Ben Nevis Distillery","Ben Nevis","Highlands","Operational","Hogshead","Great Britain Pound (£)",55,143.39,79.02,1996-11-01,"","",2023-07-04,27.16,204.842857142857,25100,"Scotland","Just Whisky Auctions",3137.5,15.32,39.71
"https://www.just-whisky.co.uk/product/ben_nevis_1996_hogshead_cask_no1686_held_in_bond_at_ben_nevis_distillery_1470188",FALSE,2024-03-31,"Ben Nevis 1996 Hogshead Cask No.1686 Held In Bond At Ben Nevis Distillery","Ben Nevis","Highlands","Operational","Hogshead","Great Britain Pound (£)",55.1,129.76,71.64,1996-11-01,"","",2023-07-04,27.41,185.371428571429,24000,"Scotland","Just Whisky Auctions",3000,16.18,41.88
"https://www.just-whisky.co.uk/product/ben_nevis_1996_hogshead_cask_no408_held_in_bond_at_ben_nevis_distillery_1487110",FALSE,2025-04-21,"Ben Nevis 1996 Hogshead Cask No.408 Held In Bond At Ben Nevis Distillery","Ben Nevis","Highlands","Operational","Hogshead","Great Britain Pound (£)",49.6,159.73,80.1,1996-03-29,"","",2025-01-27,29.06,228.185714285714,22250,"Scotland","Just Whisky Auctions",2781.25,12.19,34.72
"https://www.just-whisky.co.uk/product/ben_nevis_1996_hogshead_cask_no1751_held_in_bond_at_ben_nevis_distillery_1414548",TRUE,2020-09-30,"Ben Nevis 1996 Hogshead Cask No.1751 Held In Bond At Ben Nevis Distillery","Ben Nevis","Highlands","Operational","Hogshead","Great Britain Pound (£)",56.1,159.29,89.27,1996-01-01,"","",2020-08-24,24.75,227.557142857143,20905,"Scotland","Just Whisky Auctions",2613.125,11.48,29.27
"https://www.just-whisky.co.uk/product/ben_nevis_1997_refill_sherry_hogshead_cask_no32_held_in_bond_at_ben_nevis_distillery_1414549",TRUE,2020-09-30,"Ben Nevis 1997 Refill Sherry Hogshead Cask No.32 Held In Bond At Ben Nevis Distillery","Ben Nevis","Highlands","Operational","Hogshead","Great Britain Pound (£)",56.4,188.9,106.43,1997-01-01,"Second Fill","Sherry",2020-08-24,23.75,269.857142857143,17600,"Scotland","Just Whisky Auctions",2200,8.15,20.67
"https://www.just-whisky.co.uk/product/bruichladdich_2012_fresh_bourbon_cask_no2353_held_in_bond_at_bruichladdich_distillery_1436777",TRUE,2022-02-28,"Bruichladdich 2012 Fresh Bourbon Cask No.2353 Held In Bond At Bruichladdich Distillery","Bruichladdich ","Islay","Operational","Barrel","Great Britain Pound (£)",63.8,147,93.79,2012-01-01,"First Fill","Bourbon",NA,10.16,210,14000,"Scotland","Just Whisky Auctions",1750,8.33,18.66
"https://www.just-whisky.co.uk/product/dalmore_cask_no_800158_refill_hogshead_held_in_bond_1381663",TRUE,2018-07-31,"Dalmore Cask No. 800158 Refill Hogshead - Held in Bond at Auchroisk Distillery","Dalmore","Highlands","Operational","Hogshead","Great Britain Pound (£)",58.9,198.13,116.7,2008-02-11,"Second Fill","",2018-04-19,10.47,283.042857142857,12000,"Scotland","Just Whisky Auctions",1500,5.3,12.85
"https://www.just-whisky.co.uk/product/auchroisk_2008_hogshead_cask_no_815520_held_in_bond_at_coleburn_distillery_1427248",FALSE,2021-06-30,"Auchroisk 2008 Hogshead Cask No. 815520 Held in Bond at Coleburn Distillery","Auchroisk","Speyside","Operational","Hogshead","Great Britain Pound (£)",58.9,215.75,127.07,2008-10-17,"","",2021-05-18,12.7,308.214285714286,5750,"Scotland","Just Whisky Auctions",718.75,2.33,5.66
"https://www.just-whisky.co.uk/product/arran_2013_hogshead_cask_no415_held_in_bond_at_arran_distillery_1489037",FALSE,2025-05-19,"Arran 2013 Hogshead Cask No.415 Held In Bond At Arran Distillery","Arran","Highlands","Operational","Hogshead","Great Britain Pound (£)",58.6,226,134,2013-03-05,"First Fill","Sherry",2025-03-04,12.21,322.857142857143,5300,"Scotland","Just Whisky Auctions",662.5,2.05,4.94
"https://www.just-whisky.co.uk/product/ardnamurchan_2017_american_oak_barrel_cask_no_112_held_in_bond_at_ardnamurchan_1475438",FALSE,2024-07-31,"Ardnamurchan 2017 American Oak Barrel Cask No. 112 (Held in Bond at Ardnamurchan)","Ardnamurchan","Highlands","Operational","Barrel","Great Britain Pound (£)",61.6,165.2,101.76,2017-03-06,"","",2024-04-19,7.4,236,3600,"Scotland","Just Whisky Auctions",450,1.91,4.42
"https://www.just-whisky.co.uk/product/ardnamurchan_2017_american_oak_barrel_cask_no_112_held_in_bond_at_ardnamurchan_1474865",FALSE,2024-06-30,"Ardnamurchan 2017 American Oak Barrel Cask No. 112 (Held in Bond at Ardnamurchan)","Ardnamurchan","Highlands","Operational","Barrel","Great Britain Pound (£)",61.6,165.2,101.76,2017-03-06,"","",2024-04-19,7.32,236,3600,"Scotland","Just Whisky Auctions",450,1.91,4.42
