"url","hammer_price","title","sold","country","region","strength","distillery_status","bulk_litres","currency","auction_date","rla","filling_date","cask_type","cask_filling","previous_spirit","distillery","regauged_date","age","bottles_at_cask_strength","hammer_price_per_bottle_at_cask_strength","hammer_price_per_litre_of_alcohol","buyer_price","buyer_price_per_bottle_at_cask_strength","buyer_price_per_litre_of_alcohol","auction_house"
"https://www.thegrandwhiskyauction.com/lot-491432/springbank-1996-fresh-sherry-hogshead-bulk-1477l-439-held-in-bond-at-springbank",87750,"Springbank - 1996 Fresh Sherry Hogshead - Bulk 147.7L & 43.9%| Held in bond at Springbank",TRUE,"Scotland","Campbeltown",43.9,"Operational",147.7,"Great Britain Pound (£)",2023-04-24,64.84,1996-06-07,"Hogshead","First Fill","Sherry","Springbank",2023-03-01,26,211,415.88,1353.33,98718.75,467.86,1522.5,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-560293/ben-nevis-1998-butt-315-bulk-l-57-abv-held-in-bond-at-distillery",60000,"Ben Nevis - 1998 Butt 315 Bulk L 57% ABV | Held In Bond at Distillery",FALSE,"Scotland","Highlands",57,"Operational",315.67,"Great Britain Pound (£)",2023-11-21,179.93,1998-10-01,"Butt",NA,NA,"Ben Nevis",2023-07-26,25,450.96,133.05,333.46,67500,149.68,375.15,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-392834/ben-nevis-1996-refill-hogshead-168-bulk-l-50-abv-held-in-bond",34750,"Ben Nevis - 1996 Refill Hogshead - 168 Bulk L 50% ABV | Held In Bond",TRUE,"Scotland","Highlands",50,"Operational",150,"Great Britain Pound (£)",2022-07-11,75,1996-05-10,"Hogshead","Second Fill",NA,"Ben Nevis",2022-07-01,26,214.29,162.16,463.33,39093.75,182.43,521.25,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-502563/dalmore-2005-barrel-1497-bulk-at-559-in-bond-at-broxburn",32000,"Dalmore - 2005 Barrel - 149.7 Bulk @ 55.9% - In Bond At Broxburn",TRUE,"Scotland","Highlands",55.9,"Operational",149.7,"Great Britain Pound (£)",2023-05-23,83.68,2005-11-03,"Barrel",NA,NA,"Dalmore",2-01-01,17,213.86,149.63,382.41,36000,168.33,430.21,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-630884/port-charlotte-2004-refill-sherry-hogshead-251-bulk-l-559-held-in-bond-at-bruichladdich",29250,"Port Charlotte - 2004 Refill Sherry Hogshead - 251 Bulk L 55.9% | Held in bond at Bruichladdich",TRUE,"Scotland","Islay",55.9,"Operational",251,"Great Britain Pound (£)",2024-05-14,140.31,2004-09-24,"Hogshead","Second Fill","Sherry","Port Charlotte",2024-04-19,19,358.57,81.57,208.47,32906.25,91.77,234.53,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-552358/speyside-1995-butt-328-bulk-l-592-abv-held-in-bond-at-distillery",27000,"Speyside - 1995 Butt 328 Bulk L 59.2% ABV | Held In Bond at Distillery",TRUE,"Scotland","Speyside",59.2,"Operational",328,"Great Britain Pound (£)",2023-10-24,194.18,1995-08-22,"Butt",NA,NA,"Speyside",2023-07-26,28,468.57,57.62,139.05,30375,64.82,156.43,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-421942/bruichladdich-2012-mouton-rothschild-wine-hhd-198-bulk-l-614-held-in-bond-at-distillery",24250,"Bruichladdich - 2012 Mouton Rothschild Wine HHD - 198 Bulk L 61.4% | Held In Bond At Distillery",TRUE,"Scotland","Islay",61.4,"Operational",198,"Great Britain Pound (£)",2022-10-03,121.57,2012-07-02,NA,NA,"Wine","Bruichladdich",2022-09-02,10,282.86,85.73,199.47,27281.25,96.45,224.41,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-512326/bruichladdich-2010-rivesaltes-hogshead-215-bulk-l-571-held-in-bond-at-bruichladdich",23500,"Bruichladdich - 2010 Rivesaltes Hogshead - 215 Bulk L 57.1% | Held in bond at Bruichladdich",TRUE,"Scotland","Islay",57.1,"Operational",215,"Great Britain Pound (£)",2023-06-20,122.76,2010-09-13,"Hogshead",NA,"Wine","Bruichladdich",2023-05-11,12,307.14,76.51,191.43,26437.5,86.08,215.36,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-641559/speyside-1995-butt-350-bulk-l-622-abv-held-in-bond-at-distillery",20250,"Speyside - 1995 Butt 350 Bulk L 62.2% ABV | Held In Bond at Distillery",TRUE,"Scotland","Speyside",62.2,"Operational",350,"Great Britain Pound (£)",2024-06-12,217.7,1995-11-21,"Butt",NA,NA,"Speyside",23-01-01,28,500,40.5,93.02,22781.25,45.56,104.65,"The Grand Whisky Auction"
"https://www.thegrandwhiskyauction.com/lot-630882/bruichladdich-2004-refill-sherry-hogshead-250-bulk-l-597-held-in-bond-at-bruichladdich",17500,"Bruichladdich - 2004 Refill Sherry Hogshead - 250 Bulk L 59.7% | Held in bond at Bruichladdich",TRUE,"Scotland","Islay",59.7,"Operational",250,"Great Britain Pound (£)",2024-05-14,149.25,2004-11-25,"Hogshead","Second Fill","Sherry","Bruichladdich",2024-04-19,19,357.14,49,117.25,19687.5,55.13,131.91,"The Grand Whisky Auction"
