"age","auction_date","auction_house","bottles_at_cask_strength","bulk_litres","buyer_price","buyer_price_per_bottle_at_cask_strength","buyer_price_per_litre_of_alcohol","cask_filling","cask_type","country","currency","distillery","distillery_status","filling_date","hammer_price","previous_spirit","regauged_date","region","rla","sold","strength","title","url"
20.91,2017-11-29,"Whisky Online Auctions",185.71,130,410,2.21,9.6,NA,"Hogshead","Scotland","Great Britain Pound (£)","Arran","Operational",1997-01-01,4100,NA,2017-10-30,"Highlands",42.7,TRUE,42.7,"1 Hogshead Of Arran 1997 - Cask 18 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-arran-1997-cask-18-held-in-bond&mproductId=8638556012708&sort_by=p1766765112"
21.7,2018-07-04,"Whisky Online Auctions",397.46,278.22,1300,3.27,23.34,"Second Fill","Butt","Scotland","Great Britain Pound (£)","Ben Nevis","Operational",1996-10-21,13000,NA,2018-05-11,"Highlands",55.7,TRUE,55.7,"1 Refill Butt Of Ben Nevis 1996 - Cask 1458 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-butt-of-ben-nevis-1996-cask-1458-held-in-bond&mproductId=8440442290340&sort_by=p1766765112"
21.7,2018-07-04,"Whisky Online Auctions",470.71,329.5,1300,2.76,23.42,"Second Fill","Butt","Scotland","Great Britain Pound (£)","Ben Nevis","Operational",1996-10-21,13000,NA,2018-05-11,"Highlands",55.5,TRUE,55.5,"1 Refill Butt Of Ben Nevis 1996 - Cask 1459 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-refill-butt-of-ben-nevis-1996-cask-1459-held-in-bond&mproductId=8440442847396&sort_by=p1766765112"
28.17,2024-05-29,"Whisky Online Auctions",197.61,138.325,2070,10.48,42.33,NA,NA,"Scotland","Great Britain Pound (£)","Ben Nevis","Operational",1996-03-29,20700,NA,2024-05-01,"Highlands",48.9,TRUE,48.9,"1 Hogshead Of Ben Nevis 1996 - 28 year Old - Cask 406 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-ben-nevis-1996-28-year-old-cask-406-held-in-bond&mproductId=8638612570276&sort_by=p1766765112"
1,2021-03-24,"Whisky Online Auctions",271.43,190,200,0.74,2.82,NA,"Barrel","Scotland","Great Britain Pound (£)","Bonnington","Operational",2020-03-24,2000,"Bourbon",NA,"Lowlands",71,TRUE,37.37,"1 Bonnington 2020 Cask Of Unpeated Single Malt - Cask 0019 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-bonnington-2020-cask-of-unpeated-single-malt-cask-0019-held-in-bond&mproductId=8415498469540&sort_by=p1766765112"
0.65,2021-03-24,"Whisky Online Auctions",317.14,222,200,0.63,3.14,NA,"Hogshead","Scotland","Great Britain Pound (£)","Bonnington","Operational",2020-07-31,2000,"Wine",NA,"Lowlands",63.7,TRUE,63.7,"1 Premium Red Wine Hogshead Of Bonnington 2020 Of Peated Single Malt - Cask 0632 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-premium-red-wine-hogshead-of-bonnington-2020-of-peated-single-malt-cask-0632-held-in-bond&mproductId=7229893804196&sort_by=p1766765112"
17.32,2022-04-27,"Whisky Online Auctions",192.86,135,1690,8.76,20.58,NA,"Barrel","Scotland","Great Britain Pound (£)","Bruichladdich","Operational",2005-01-01,16900,"Bourbon",2022-02-16,"Islay",82.1,TRUE,60.4,"1 Bourbon Barrel Of Bruichladdich 2005 - Cask 345 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-bourbon-barrel-of-bruichladdich-2005-cask-345-held-in-bond&mproductId=8638594318500&sort_by=p1766765112"
24.99,2018-05-02,"Whisky Online Auctions",110.57,77.4,710,6.42,16.67,NA,"Hogshead","Scotland","Great Britain Pound (£)","Bruichladdich","Operational",1993-05-07,7100,NA,2017-10-25,"Islay",42.6,TRUE,42.6,"1 Hogshead Of Bruichladdich 1993 - Cask 1641 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-bruichladdich-1993-cask-1641-held-in-bond&mproductId=8638564073636&sort_by=p1766765112"
21.24,2024-08-07,"Whisky Online Auctions",207.14,145,1220,5.89,21.29,NA,NA,"Scotland","Great Britain Pound (£)","Bruichladdich","Operational",2003-05-12,12200,NA,2024-06-14,"Islay",57.3,TRUE,57.3,"1 Hogshead Of Bruichladdich 2003 - 21 year Old - Cask 132 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-bruichladdich-2003-21-year-old-cask-132-held-in-bond&mproductId=8755890749604&sort_by=p1766765112"
18.02,2025-01-08,"Whisky Online Auctions",212.86,149,1590,7.47,26.02,NA,NA,"Scotland","Great Britain Pound (£)","Bruichladdich","Operational",2007-01-01,15900,NA,2024-11-01,"Islay",61.1,TRUE,61.1,"1 Hogshead Of Lochindaal Bruichladdich 2007 - 17 year Old - Cask 3403 - Held In Bond","https://live.whisky-onlineauctions.com/pages/product-history-page?mproduct=1-hogshead-of-lochindaal-bruichladdich-2007-17-year-old-cask-3403-held-in-bond&mproductId=14895561245053&sort_by=p1766765112"
